dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
0,waveguide_smt_L1.0_LAM1000_Neff1.1_end.0-trans.2d_dat,1.0,1000,1.1,-6.28318531e-01
1,waveguide_smt_L1.0_LAM1000_Neff1.3_end.0-trans.2d_dat,1.0,1000,1.3,-1.88089658e+00
2,waveguide_smt_L1.0_LAM1000_Neff1.5_end.0-trans.2d_dat,1.0,1000,1.5,-3.14159265e+00
3,waveguide_smt_L1.0_LAM1000_Neff1.7_end.0-trans.2d_dat,1.0,1000,1.7,1.85893806e+00
4,waveguide_smt_L1.0_LAM1000_Neff1.9_end.0-trans.2d_dat,1.0,1000,1.9,6.97358856e-01
5,waveguide_smt_L1.0_LAM1000_Neff2.1_end.0-trans.2d_dat,1.0,1000,2.1,-7.23793969e-01
6,waveguide_smt_L1.0_LAM1000_Neff2.3_end.0-trans.2d_dat,1.0,1000,2.3,-1.81853777e+00
7,waveguide_smt_L1.0_LAM1000_Neff2.5_end.0-trans.2d_dat,1.0,1000,2.5,-3.14159265e+00
8,waveguide_smt_L1.0_LAM1000_Neff2.7_end.0-trans.2d_dat,1.0,1000,2.7,1.79407209e+00
9,waveguide_smt_L1.0_LAM1000_Neff2.9_end.0-trans.2d_dat,1.0,1000,2.9,8.30943999e-01
10,waveguide_smt_L1.0_LAM1010_Neff1.1_end.0-trans.2d_dat,1.0,1010,1.1,-5.59887800e-01
11,waveguide_smt_L1.0_LAM1010_Neff1.3_end.0-trans.2d_dat,1.0,1010,1.3,-1.80097837e+00
12,waveguide_smt_L1.0_LAM1010_Neff1.5_end.0-trans.2d_dat,1.0,1010,1.5,-3.04378182e+00
13,waveguide_smt_L1.0_LAM1010_Neff1.7_end.0-trans.2d_dat,1.0,1010,1.7,1.95755353e+00
14,waveguide_smt_L1.0_LAM1010_Neff1.9_end.0-trans.2d_dat,1.0,1010,1.9,8.17686697e-01
15,waveguide_smt_L1.0_LAM1010_Neff2.1_end.0-trans.2d_dat,1.0,1010,2.1,-5.83990548e-01
16,waveguide_smt_L1.0_LAM1010_Neff2.3_end.0-trans.2d_dat,1.0,1010,2.3,-1.70448549e+00
17,waveguide_smt_L1.0_LAM1010_Neff2.5_end.0-trans.2d_dat,1.0,1010,2.5,-2.93204936e+00
18,waveguide_smt_L1.0_LAM1010_Neff2.7_end.0-trans.2d_dat,1.0,1010,2.7,1.92139336e+00
19,waveguide_smt_L1.0_LAM1010_Neff2.9_end.0-trans.2d_dat,1.0,1010,2.9,1.00649450e+00
20,waveguide_smt_L1.0_LAM1020_Neff1.1_end.0-trans.2d_dat,1.0,1020,1.1,-4.92798848e-01
21,waveguide_smt_L1.0_LAM1020_Neff1.3_end.0-trans.2d_dat,1.0,1020,1.3,-1.72270458e+00
22,waveguide_smt_L1.0_LAM1020_Neff1.5_end.0-trans.2d_dat,1.0,1020,1.5,-2.94805025e+00
23,waveguide_smt_L1.0_LAM1020_Neff1.7_end.0-trans.2d_dat,1.0,1020,1.7,2.05554071e+00
24,waveguide_smt_L1.0_LAM1020_Neff1.9_end.0-trans.2d_dat,1.0,1020,1.9,9.31797677e-01
25,waveguide_smt_L1.0_LAM1020_Neff2.1_end.0-trans.2d_dat,1.0,1020,2.1,-4.40388586e-01
26,waveguide_smt_L1.0_LAM1020_Neff2.3_end.0-trans.2d_dat,1.0,1020,2.3,-1.59477587e+00
27,waveguide_smt_L1.0_LAM1020_Neff2.5_end.0-trans.2d_dat,1.0,1020,2.5,-2.73423750e+00
28,waveguide_smt_L1.0_LAM1020_Neff2.7_end.0-trans.2d_dat,1.0,1020,2.7,2.05637873e+00
29,waveguide_smt_L1.0_LAM1020_Neff2.9_end.0-trans.2d_dat,1.0,1020,2.9,1.15674752e+00
30,waveguide_smt_L1.0_LAM1030_Neff1.1_end.0-trans.2d_dat,1.0,1030,1.1,-4.27012594e-01
31,waveguide_smt_L1.0_LAM1030_Neff1.3_end.0-trans.2d_dat,1.0,1030,1.3,-1.64600081e+00
32,waveguide_smt_L1.0_LAM1030_Neff1.5_end.0-trans.2d_dat,1.0,1030,1.5,-2.85447927e+00
33,waveguide_smt_L1.0_LAM1030_Neff1.7_end.0-trans.2d_dat,1.0,1030,1.7,2.15312863e+00
34,waveguide_smt_L1.0_LAM1030_Neff1.9_end.0-trans.2d_dat,1.0,1030,1.9,1.04024397e+00
35,waveguide_smt_L1.0_LAM1030_Neff2.1_end.0-trans.2d_dat,1.0,1030,2.1,-2.94076067e-01
36,waveguide_smt_L1.0_LAM1030_Neff2.3_end.0-trans.2d_dat,1.0,1030,2.3,-1.48756868e+00
37,waveguide_smt_L1.0_LAM1030_Neff2.5_end.0-trans.2d_dat,1.0,1030,2.5,-2.55279660e+00
38,waveguide_smt_L1.0_LAM1030_Neff2.7_end.0-trans.2d_dat,1.0,1030,2.7,2.20238449e+00
39,waveguide_smt_L1.0_LAM1030_Neff2.9_end.0-trans.2d_dat,1.0,1030,2.9,1.28887228e+00
40,waveguide_smt_L1.0_LAM1040_Neff1.1_end.0-trans.2d_dat,1.0,1040,1.1,-3.62491460e-01
41,waveguide_smt_L1.0_LAM1040_Neff1.3_end.0-trans.2d_dat,1.0,1040,1.3,-1.57079633e+00
42,waveguide_smt_L1.0_LAM1040_Neff1.5_end.0-trans.2d_dat,1.0,1040,1.5,-2.76312427e+00
43,waveguide_smt_L1.0_LAM1040_Neff1.7_end.0-trans.2d_dat,1.0,1040,1.7,2.25047760e+00
44,waveguide_smt_L1.0_LAM1040_Neff1.9_end.0-trans.2d_dat,1.0,1040,1.9,1.14366616e+00
45,waveguide_smt_L1.0_LAM1040_Neff2.1_end.0-trans.2d_dat,1.0,1040,2.1,-1.46643520e-01
46,waveguide_smt_L1.0_LAM1040_Neff2.3_end.0-trans.2d_dat,1.0,1040,2.3,-1.38122674e+00
47,waveguide_smt_L1.0_LAM1040_Neff2.5_end.0-trans.2d_dat,1.0,1040,2.5,-2.38911761e+00
48,waveguide_smt_L1.0_LAM1040_Neff2.7_end.0-trans.2d_dat,1.0,1040,2.7,2.36236642e+00
49,waveguide_smt_L1.0_LAM1040_Neff2.9_end.0-trans.2d_dat,1.0,1040,2.9,1.40876485e+00
50,waveguide_smt_L1.0_LAM1050_Neff1.1_end.0-trans.2d_dat,1.0,1050,1.1,-2.99199300e-01
51,waveguide_smt_L1.0_LAM1050_Neff1.3_end.0-trans.2d_dat,1.0,1050,1.3,-1.49702446e+00
52,waveguide_smt_L1.0_LAM1050_Neff1.5_end.0-trans.2d_dat,1.0,1050,1.5,-2.67401385e+00
53,waveguide_smt_L1.0_LAM1050_Neff1.7_end.0-trans.2d_dat,1.0,1050,1.7,2.34767906e+00
54,waveguide_smt_L1.0_LAM1050_Neff1.9_end.0-trans.2d_dat,1.0,1050,1.9,1.24273629e+00
55,waveguide_smt_L1.0_LAM1050_Neff2.1_end.0-trans.2d_dat,1.0,1050,2.1,1.52913752e-11
56,waveguide_smt_L1.0_LAM1050_Neff2.3_end.0-trans.2d_dat,1.0,1050,2.3,-1.27427971e+00
57,waveguide_smt_L1.0_LAM1050_Neff2.5_end.0-trans.2d_dat,1.0,1050,2.5,-2.24222557e+00
58,waveguide_smt_L1.0_LAM1050_Neff2.7_end.0-trans.2d_dat,1.0,1050,2.7,2.53820478e+00
59,waveguide_smt_L1.0_LAM1050_Neff2.9_end.0-trans.2d_dat,1.0,1050,2.9,1.52113709e+00
60,waveguide_smt_L1.0_LAM1060_Neff1.1_end.0-trans.2d_dat,1.0,1060,1.1,-2.37101332e-01
61,waveguide_smt_L1.0_LAM1060_Neff1.3_end.0-trans.2d_dat,1.0,1060,1.3,-1.42462278e+00
62,waveguide_smt_L1.0_LAM1060_Neff1.5_end.0-trans.2d_dat,1.0,1060,1.5,-2.58715068e+00
63,waveguide_smt_L1.0_LAM1060_Neff1.7_end.0-trans.2d_dat,1.0,1060,1.7,2.44475682e+00
64,waveguide_smt_L1.0_LAM1060_Neff1.9_end.0-trans.2d_dat,1.0,1060,1.9,1.33811991e+00
65,waveguide_smt_L1.0_LAM1060_Neff2.1_end.0-trans.2d_dat,1.0,1060,2.1,1.43889073e-01
66,waveguide_smt_L1.0_LAM1060_Neff2.3_end.0-trans.2d_dat,1.0,1060,2.3,-1.16540282e+00
67,waveguide_smt_L1.0_LAM1060_Neff2.5_end.0-trans.2d_dat,1.0,1060,2.5,-2.10991534e+00
68,waveguide_smt_L1.0_LAM1060_Neff2.7_end.0-trans.2d_dat,1.0,1060,2.7,2.72962029e+00
69,waveguide_smt_L1.0_LAM1060_Neff2.9_end.0-trans.2d_dat,1.0,1060,2.9,1.62985071e+00
70,waveguide_smt_L1.0_LAM1070_Neff1.1_end.0-trans.2d_dat,1.0,1070,1.1,-1.76164074e-01
71,waveguide_smt_L1.0_LAM1070_Neff1.3_end.0-trans.2d_dat,1.0,1070,1.3,-1.35353323e+00
72,waveguide_smt_L1.0_LAM1070_Neff1.5_end.0-trans.2d_dat,1.0,1070,1.5,-2.50251349e+00
73,waveguide_smt_L1.0_LAM1070_Neff1.7_end.0-trans.2d_dat,1.0,1070,1.7,2.54167014e+00
74,waveguide_smt_L1.0_LAM1070_Neff1.9_end.0-trans.2d_dat,1.0,1070,1.9,1.43045302e+00
75,waveguide_smt_L1.0_LAM1070_Neff2.1_end.0-trans.2d_dat,1.0,1070,2.1,2.83271481e-01
76,waveguide_smt_L1.0_LAM1070_Neff2.3_end.0-trans.2d_dat,1.0,1070,2.3,-1.05341869e+00
77,waveguide_smt_L1.0_LAM1070_Neff2.5_end.0-trans.2d_dat,1.0,1070,2.5,-1.98958820e+00
78,waveguide_smt_L1.0_LAM1070_Neff2.7_end.0-trans.2d_dat,1.0,1070,2.7,2.93307387e+00
79,waveguide_smt_L1.0_LAM1070_Neff2.9_end.0-trans.2d_dat,1.0,1070,2.9,1.73824986e+00
80,waveguide_smt_L1.0_LAM1080_Neff1.1_end.0-trans.2d_dat,1.0,1080,1.1,-1.16355283e-01
81,waveguide_smt_L1.0_LAM1080_Neff1.3_end.0-trans.2d_dat,1.0,1080,1.3,-1.28370212e+00
82,waveguide_smt_L1.0_LAM1080_Neff1.5_end.0-trans.2d_dat,1.0,1080,1.5,-2.42005997e+00
