dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
0,waveguide_op_L1.0_LAM1000_Neff1.1_end.log,1.0,1000,1.1, -6.9115
1,waveguide_op_L1.0_LAM1100_Neff1.1_end.log,1.0,1100,1.1, -6.28319
2,waveguide_op_L1.0_LAM600_Neff1.1_end.log,1.0,600,1.1, -11.5192
3,waveguide_op_L1.0_LAM700_Neff1.1_end.log,1.0,700,1.1, -9.87358
4,waveguide_op_L1.0_LAM800_Neff1.1_end.log,1.0,800,1.1, -8.63938
5,waveguide_op_L1.0_LAM900_Neff1.1_end.log,1.0,900,1.1, -7.67945
6,waveguide_op_L1.2_LAM1000_Neff1.1_end.log,1.2,1000,1.1, -8.2938
7,waveguide_op_L1.2_LAM1100_Neff1.1_end.log,1.2,1100,1.1, -7.53982
8,waveguide_op_L1.2_LAM600_Neff1.1_end.log,1.2,600,1.1, -13.823
9,waveguide_op_L1.2_LAM700_Neff1.1_end.log,1.2,700,1.1, -11.8483
10,waveguide_op_L1.2_LAM800_Neff1.1_end.log,1.2,800,1.1, -10.3673
11,waveguide_op_L1.2_LAM900_Neff1.1_end.log,1.2,900,1.1, -9.21534
12,waveguide_op_L1.4_LAM1000_Neff1.1_end.log,1.4,1000,1.1, -9.67611
13,waveguide_op_L1.4_LAM1100_Neff1.1_end.log,1.4,1100,1.1, -8.79646
14,waveguide_op_L1.4_LAM600_Neff1.1_end.log,1.4,600,1.1, -16.1268
15,waveguide_op_L1.4_LAM700_Neff1.1_end.log,1.4,700,1.1, -13.823
16,waveguide_op_L1.4_LAM800_Neff1.1_end.log,1.4,800,1.1, -12.0951
17,waveguide_op_L1.4_LAM900_Neff1.1_end.log,1.4,900,1.1, -10.7512
18,waveguide_op_L1.6_LAM1000_Neff1.1_end.log,1.6,1000,1.1, -11.0584
19,waveguide_op_L1.6_LAM1100_Neff1.1_end.log,1.6,1100,1.1, -10.0531
20,waveguide_op_L1.6_LAM600_Neff1.1_end.log,1.6,600,1.1, -18.4307
21,waveguide_op_L1.6_LAM700_Neff1.1_end.log,1.6,700,1.1, -15.7977
22,waveguide_op_L1.6_LAM800_Neff1.1_end.log,1.6,800,1.1, -13.823
23,waveguide_op_L1.6_LAM900_Neff1.1_end.log,1.6,900,1.1, -12.2871
24,waveguide_op_L1.8_LAM1000_Neff1.1_end.log,1.8,1000,1.1, -12.4407
25,waveguide_op_L1.8_LAM1100_Neff1.1_end.log,1.8,1100,1.1, -11.3097
26,waveguide_op_L1.8_LAM600_Neff1.1_end.log,1.8,600,1.1, -20.7345
27,waveguide_op_L1.8_LAM700_Neff1.1_end.log,1.8,700,1.1, -17.7724
28,waveguide_op_L1.8_LAM800_Neff1.1_end.log,1.8,800,1.1, -15.5509
29,waveguide_op_L1.8_LAM900_Neff1.1_end.log,1.8,900,1.1, -13.823
30,waveguide_op_L2.0_LAM1000_Neff1.1_end.log,2.0,1000,1.1, -13.823
31,waveguide_op_L2.0_LAM1100_Neff1.1_end.log,2.0,1100,1.1, -12.5664
32,waveguide_op_L2.0_LAM600_Neff1.1_end.log,2.0,600,1.1, -23.0383
33,waveguide_op_L2.0_LAM700_Neff1.1_end.log,2.0,700,1.1, -19.7472
34,waveguide_op_L2.0_LAM800_Neff1.1_end.log,2.0,800,1.1, -17.2788
